ID_Capsula_Padre,Titulo_Episodio,Link_YouTube
amplificado,(HD) FRIKSTAILERS / VENUS : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=UMzbtByXj9k
amplificado,AGRUPACIÓN CARIÑO / TANTAS GANAS : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=RusGvVVO0TA
amplificado,"I.R.A. / ANTISOCIAL : AMPLIFICADO (MEDELLIN, COLOMBIA)",https://www.youtube.com/watch?v=zsdDMd0rdd8
amplificado,"(HD) ALFREDO GUTIERREZ / ANHELOS : AMPLIFICADO (SABANAS DE BELTRÁN, SUCRE, COLOMBIA)",https://www.youtube.com/watch?v=MnGCKeiLEJQ
amplificado,"PERNETT / HOY ES MAÑANA : AMPLIFICADO (BARRANQUILLA, COLOMBIA) EN VIVO",https://www.youtube.com/watch?v=EpToZGo4p88
amplificado,"CHARLES KING / EL MARTILLO : AMPLIFICADO (CARTAGENA, COLOMBIA) EN VIVO",https://www.youtube.com/watch?v=Xv0Xng4M0XQ
amplificado,"PETRONA MARTÍNEZ / UN NIÑO LLORA EN LOS MONTES DE MARÍA : AMPLIFICADO (BOLÍVAR, COLOMBIA)",https://www.youtube.com/watch?v=Ab5XqeTD8IM
amplificado,LOS TRES / DÉJATE CAER: AMPLIFICADO (CHILE) EN VIVO,https://www.youtube.com/watch?v=V_cX2Eek7ug
amplificado,"LA MINITK DEL MIEDO / EL VACILÓN DE ULTRATUMBA : AMPLIFICADO (BOGOTÁ, COLOMBIA) EN VIVO",https://www.youtube.com/watch?v=PbBE_hPaBs0
amplificado,"MARY HELLEN / IDIOMA UNIVERSAL (MEDELLIN, COLOMBIA) EN VIVO",https://www.youtube.com/watch?v=nGt-0i9hgeU
amplificado,"KOYI K UTHO / DEMENTIAL STATE : AMPLIFICADO (BOGOTÁ, COLOMBIA) EN VIVO",https://www.youtube.com/watch?v=lw4bUhn-puw
amplificado,"SUPERANFOR / BARRIO CHICO : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=7huf1oQvKzw
amplificado,"FATSO / SNAKE EYES : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=nACJzuWAb3c
amplificado,"BUENDÍA / TRAS DE MI : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=uI_Kl8mlApo
amplificado,"MILMARIAS / LA PALMERA VOLADORA : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=p2pwFZnBsXQ
amplificado,"TELEBIT / SOMBRAS : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=Ag7VE-jawN4
amplificado,"PEDRINA Y RIO / ENAMORADA : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=xCcrH-oIh5U
amplificado,ESTER RADA / LIFE HAPPENS : AMPLIFICADO WOMEX 2014,https://www.youtube.com/watch?v=ScYGJL4FTlI
amplificado,"SON YUBARTA / SOY CHOCÓ : AMPLIFICADO (CHOCÓ, COLOMBIA)",https://www.youtube.com/watch?v=RwxjaRUkn08
amplificado,"AGRUPACIÓN CHANGÓ / FOLCLOR DE MI TIERRA : AMPLIFICADO (TUMACO, COLOMBIA)",https://www.youtube.com/watch?v=KvoxUKlQxoA
amplificado,Elkin Robinson / Keep it calm : Llorona Records -,https://www.youtube.com/watch?v=qVFRaIU7qGw
amplificado,TRIBU BAHARU / EL BESITO / AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=kzxikab2xrg
amplificado,WOMEX: WORLD MUSIC EXPO 2014 (DELEGACIÓN COLOMBIAN,https://www.youtube.com/watch?v=DOokCsNdhKY
amplificado,"(HD) CHARLES KING / EL CHOCHO : AMPLIFICADO (CARTAGENA, COLOMBIA)",https://www.youtube.com/watch?v=RrlDB_ceNY8
amplificado,(HD) SONDORGO / DRAGO KOLO : AMPLIFICADO (HUNGRIA),https://www.youtube.com/watch?v=oVKt2mSrnUU
amplificado,"(HD) LA YEGROS / TROCITOS DE MADERA : AMPLIFICADO (BUENOS AIRES, ARGENTINA)",https://www.youtube.com/watch?v=r4nqK3fUG6k
amplificado,"(HD) BURNING CARAVAN / MAIAKOVSKI : AMPLIFICADO (BOGOTA, COLOMBIA)",https://www.youtube.com/watch?v=4a6SSTvHcXU
amplificado,"(HD) ALFREDO GUTIERREZ / FESTIVAL EN GUARARÉ : AMPLIFICADO (SABANAS DE BELTRÁN, SUCRE, COLOMBIA)",https://www.youtube.com/watch?v=EBXxuguoQpk
amplificado,"(HD) SEMBRANDO JOROPO /  LA CHIPOLA : AMPLIFICADO (CASANARE, COLOMBIA)",https://www.youtube.com/watch?v=5q26Pc7__fg
amplificado,"(HD) LOS PIRAÑAS / SIR DE GUSANO : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=yNrgrjlUF-E
amplificado,(HD) TRIPLE X / TRIPLE X EN ESTÉREO : AMPLIFICADO,https://www.youtube.com/watch?v=2NfGojugWsE
amplificado,(HD) MULATU ASTATKE Y CURUPIRA / PERRO A CUADROS : AMPLIFICADO  (ETIOPÍA/ COLOMBIA),https://www.youtube.com/watch?v=Qy4pDGVK53g
amplificado,"(HD) LA SANTA CECILIA / LA MONEDITA : AMPLIFICADO (LOS ÁNGELES, USA)",https://www.youtube.com/watch?v=ZkzsTMaOBXU
amplificado,(HD) JUANA MOLINA / BICHO AUTO : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=q-8-lPa0ufQ
amplificado,"(HD) LA 33 / SOLEDAD : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=XfqQqjpeY90
amplificado,"SEÑAL AMPLIFICADO, LATINOAMÉRICA EN VIVO! (SABADOS Y DOMINGOS 10PM)",https://www.youtube.com/watch?v=497KUUkHWBI
amplificado,(HD) AGRUPACION CARIÑO / TE QUIERO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=7z9hPEaBoqc
amplificado,"(HD) SON RUMBERO'S / GAVILAN SABANERO : AMPLIFICADO (MEDELLÍN, COLOMBIA)",https://www.youtube.com/watch?v=C66z9AsdUIU
amplificado,(HD) LULACRUZA / DOÑA DOÑA : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=j0--8URpWWE
amplificado,(HD) PUERTO CANDELARIA / CUMBIA REBELDE : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=0JRCXheZfWo
amplificado,(HD) FRIKSTAILERS / KEPLER : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=aWNh3PfYEJk
amplificado,"(HD) MR BLEAT / CHICOS, CHICAS : AMPLIFICADO (COLOMBIA)",https://www.youtube.com/watch?v=BY3LOOt4rKY
amplificado,(HD) CARLOS RICO / UN LLANERO DE CASTA : AMPLIFICADO (CIMARRON DE CIMARRONES),https://www.youtube.com/watch?v=3URhbrlPfMc
amplificado,REBEL CATS / PRISIONERO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=vZdvhARU75E
amplificado,(HD) BUENDÍA / FIREFLIES : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=fD0Y2ruBV-U
amplificado,(HD) PERNETT / ESTA NOCHE : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=xPUG-EIZ4sE
amplificado,(HD) JUANA MOLINA / LO DECIDÍ YO : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=oPjdWHYGHSY
amplificado,LOS TRES / TIRATE: AMPLIFICADO (CHILE) EN VIVO,https://www.youtube.com/watch?v=x-yej4UlGAE
amplificado,(HD) LUZMILA CARPIO / YANAPARIWAIKU : AMPLIFICADO (BOLIVIA),https://www.youtube.com/watch?v=zhrcuUkxPms
amplificado,"(HD) TRIPLE X / URIBE NO HA MUERTO : AMPLIFICADO (BOGOTÁ, COLOMBIA)",https://www.youtube.com/watch?v=W0hZBR9NOX0
amplificado,(HD) TRIPLEX EN AMPLIFICADO!!!,https://www.youtube.com/watch?v=liZptlsOxHo
amplificado,"(HD) I.R.A. / FIRMES : AMPLIFICADO (MEDELLIN, COLOMBIA)",https://www.youtube.com/watch?v=ooIiX6YVPhc
amplificado,(HD) PETRONA MARTÍNEZ / EL VENTARRÓN : AMPLIFICADO (COLOMBIA)  EN VIVO,https://www.youtube.com/watch?v=JaD8fw_AtBc
amplificado,(HD) LOS VEGA / EL PAJARO CU : AMPLIFICADO (MEXICO),https://www.youtube.com/watch?v=rf8W5RmyAPQ
